unit_type	unit_id	label	grade	winning_sources	winning_records	n_true	n_false	total_records	unique_sources_all	unique_uid_count	unique_roi_count
UID	3O6T-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	3ORX-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	3PWY-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	3Q3Y-A	POSITIVE	1S-2R	1	2	2	0	2	1	1	1
UID	3QZQ-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	3S21-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	3SH7-B	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	3SJI-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	3SJO-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	3SVV-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	3T9T-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	3UR9-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	3V4X-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	3W2P-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	3WJC-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	3ZGP-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	3ZV9-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	3ZZ5-A	POSITIVE	1S-2R	1	2	2	0	2	1	1	1
UID	4A52-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	4BQV-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	4CL8-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	4CYG-B	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	4D9U-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	4DCD-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	4EM4-B	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	4EZ8-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	4F49-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	4F4Q-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	4FDN-A	POSITIVE	1S-2R	1	2	2	0	2	1	1	1
UID	4GHT-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	4GMX-C	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	4GS6-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	4GSU-A	POSITIVE	1S-2R	1	2	2	0	2	1	1	1
UID	4I1P-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	4I9O-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	4J5P-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	4JAO-C	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	4LS8-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	4LUC-A	POSITIVE	1S-2R	1	2	2	0	2	1	1	1
UID	4MZ4-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	4NJ4-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	4ONM-B	POSITIVE	1S-1R	1	1	1	26	27	11	1	1
UID	4PE4-X	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	4PHG-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	4PID-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	4PIQ-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	4Q24-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	4QBB-B	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	4QPS-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	4QQ5-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	4US2-R	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	4XCU-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	4XZ0-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	4XZ1-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	4YQU-A	POSITIVE	11S-25R	11	25	25	159	184	14	1	5
UID	4YRT-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	4ZFQ-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	4ZRO-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	5A24-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	5AC0-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	5AC2-A	POSITIVE	2S-5R	2	5	5	0	5	2	1	2
UID	5ACB-C	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	5AXS-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	5AZT-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	5CBN-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	5DAF-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	5E93-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	5EZS-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	5FNV-C	POSITIVE	5S-12R	5	12	12	103	115	7	1	10
UID	5HZE-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	5JQ2-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	5KWI-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	5L6O-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	5M4Z-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	5MI4-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	5MJB-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	5MUA-B	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	5N0M-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	5NGF-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	5NH0-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	5O8U-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	5OAQ-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	5OO0-A	POSITIVE	3S-3R	3	3	3	86	89	9	1	3
UID	5OO1-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	5ORL-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	5QH8-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	5QIO-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	5REJ-A	POSITIVE	1S-2R	1	2	2	0	2	1	1	2
UID	5SWH-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	5TH7-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	5VBE-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	5VBM-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	5VND-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	5VQX-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	5W30-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	5W39-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	5WDL-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	5Y41-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	5YJO-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	5Z1D-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	5ZK4-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	6ALZ-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	6B95-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	6BJD-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	6BOI-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	6CHW-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	6CWY-D	POSITIVE	6S-9R	6	9	9	196	205	12	1	10
UID	6CZ5-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	6DY0-B	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	6DY2-B	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	6E37-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	6E6T-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	6EXW-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	6FDQ-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	6GA0-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	6GCR-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	6GES-A	POSITIVE	4S-8R	4	8	8	122	130	9	1	6
UID	6GXY-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	6GZY-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	6H0U-A	POSITIVE	6S-9R	6	9	9	289	298	12	1	7
UID	6HHF-A	POSITIVE	1S-2R	1	2	2	0	2	1	1	2
UID	6HHP-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	6HMU-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	6I0X-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	6I99-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	6J4P-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	6J4Q-B	POSITIVE	1S-1R	1	1	1	15	16	6	1	1
UID	6KU2-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	6KX3-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	6L37-A	POSITIVE	1S-2R	1	2	2	0	2	1	1	2
UID	6L70-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	6M01-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	6MGU-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	6MIS-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	6MNY-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	6MZW-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	6NTW-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	6O83-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	6OCG-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	6P4E-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	6P7I-D	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	6Q2A-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	6QG7-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	6R0R-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	6R1V-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	6R5L-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	6S6J-B	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	6SGD-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	6SIU-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	6TVO-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	6U0J-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	6UH4-B	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	6V0P-A	POSITIVE	4S-7R	4	7	7	79	86	14	1	9
UID	6VAJ-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	6VGY-A	POSITIVE	1S-2R	1	2	2	0	2	1	1	1
UID	6VPL-B	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	6VWE-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	6WYF-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	6XD3-J	POSITIVE	3S-4R	3	4	4	106	110	5	1	3
UID	6XOL-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	6YCG-B	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	6YX5-B	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	6ZMD-B	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	6ZPR-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	7A1W-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	7AFV-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	7ARA-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	7AXF-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	7CMM-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	7D56-C	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	7D57-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	7DUR-R	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	7EXW-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	7F2R-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	7KGN-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	7KIA-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	7L4E-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	7L8H-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	7L9X-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	7M4T-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	7N3K-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	7OJX-B	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	7ONB-D	POSITIVE	4S-11R	4	11	11	326	337	11	1	13
UID	7V6K-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	A0A024RBG1	NEGATIVE	3S-10R	3	10	0	10	10	3	1	4
UID	A0A075B6S6	NEGATIVE	1S-2R	1	2	0	2	2	1	1	1
UID	A0A075B759	POSITIVE	1S-4R	1	4	4	3	7	2	1	2
UID	A0A087WZ30	POSITIVE	5S-14R	5	14	14	163	177	7	1	28
UID	A0A087X0M4	NEGATIVE	3S-7R	3	7	0	7	7	3	1	3
UID	A0A087X2I1	POSITIVE	7S-20R	7	20	20	277	297	8	1	5
UID	A0A096LP55	NEGATIVE	2S-2R	2	2	0	2	2	2	1	1
UID	A0A0A0MQS1	POSITIVE	2S-3R	2	3	3	171	174	7	1	6
UID	A0A0A0MS01	POSITIVE	1S-1R	1	1	1	7	8	1	1	1
UID	A0A0A6YYJ8	NEGATIVE	2S-19R	2	19	0	19	19	2	1	6
UID	A0A0A6YYL6	POSITIVE	1S-4R	1	4	4	18	22	2	1	3
UID	A0A0B4J1S8	POSITIVE	3S-10R	3	10	10	79	89	8	1	7
UID	A0A0B4J2A2	POSITIVE	1S-2R	1	2	2	2	4	2	1	3
UID	A0A0C4DFX9	POSITIVE	1S-1R	1	1	1	155	156	8	1	4
UID	A0A0C4DGV4	NEGATIVE	6S-49R	6	49	0	49	49	6	1	3
UID	A0A0R4J2E8	POSITIVE	4S-9R	4	9	9	206	215	11	1	8
UID	A0A1B0GTR4	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	A0A1B0GTZ2	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	A0A1B0GUJ8	NEGATIVE	1S-1R	1	1	0	1	1	1	1	1
UID	A0A1B0GV22	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	A0A1B0GVM6	NEGATIVE	1S-1R	1	1	0	1	1	1	1	1
UID	A0A1C7CYX1	POSITIVE	4S-5R	4	5	5	81	86	7	1	4
UID	A0A1W2PP97	NEGATIVE	1S-2R	1	2	0	2	2	1	1	1
UID	A0A1W2PR06	POSITIVE	2S-4R	2	4	4	22	26	4	1	3
UID	A0A2R8Y891	POSITIVE	3S-5R	3	5	5	193	198	9	1	7
UID	A0A2Z4LIS9	NEGATIVE	1S-8R	1	8	0	8	8	1	1	1
UID	A0A3F2YNX7	NEGATIVE	2S-2R	2	2	0	2	2	2	1	1
UID	A0A5F9UK94	NEGATIVE	2S-5R	2	5	0	5	5	2	1	3
UID	A0AV02	POSITIVE	1S-1R	1	1	1	2	3	2	1	2
UID	A0AV02-2	NEGATIVE	1S-2R	1	2	0	2	2	1	1	1
UID	A0AV96	POSITIVE	3S-10R	3	10	10	13	23	5	1	5
UID	A0AVF1	NEGATIVE	1S-2R	1	2	0	2	2	1	1	2
UID	A0AVI4	POSITIVE	1S-1R	1	1	1	35	36	2	1	6
UID	A0AVK6	POSITIVE	1S-1R	1	1	1	2	3	2	1	2
UID	A0AVT1	POSITIVE	11S-32R	11	32	32	418	450	14	1	19
UID	A0FGR8	POSITIVE	5S-11R	5	11	11	56	67	10	1	3
UID	A0FGR8-6	NEGATIVE	1S-7R	1	7	0	7	7	1	1	4
UID	A0JLT2	POSITIVE	2S-2R	2	2	2	67	69	7	1	2
UID	A0JNW5	POSITIVE	3S-16R	3	16	16	120	136	8	1	12
UID	A0MZ66	POSITIVE	5S-7R	5	7	7	144	151	8	1	6
UID	A0PJW6	POSITIVE	1S-1R	1	1	1	51	52	1	1	1
UID	A0PJZ3	NEGATIVE	1S-10R	1	10	0	10	10	1	1	1
UID	A1A4S6	POSITIVE	1S-1R	1	1	1	16	17	3	1	3
UID	A1KXE4	NEGATIVE	5S-11R	5	11	0	11	11	5	1	1
UID	A1KZ92	POSITIVE	1S-1R	1	1	1	2	3	1	1	3
UID	A1L020	NEGATIVE	1S-24R	1	24	0	24	24	1	1	1
UID	A1L0T0	POSITIVE	4S-9R	4	9	9	197	206	10	1	7
UID	A1L390	POSITIVE	2S-2R	2	2	2	30	32	6	1	7
UID	A1L3X0	NEGATIVE	1S-2R	1	2	0	2	2	1	1	1
UID	A1X283	POSITIVE	2S-3R	2	3	3	40	43	8	1	4
UID	A1XBS5	POSITIVE	2S-4R	2	4	4	5	9	2	1	3
UID	A1Z1Q3	NEGATIVE	1S-1R	1	1	0	1	1	1	1	1
UID	A2A288	POSITIVE	2S-6R	2	6	6	27	33	4	1	5
UID	A2A2Z9	NEGATIVE	1S-1R	1	1	0	1	1	1	1	1
UID	A2A3K4	POSITIVE	1S-1R	1	1	1	4	5	1	1	1
UID	A2A3K4-2	NEGATIVE	1S-2R	1	2	0	2	2	1	1	2
UID	A2A3L6	NEGATIVE	1S-1R	1	1	0	1	1	1	1	1
UID	A2A3N6	NEGATIVE	1S-2R	1	2	0	2	2	1	1	1
UID	A2AJT9	NEGATIVE	3S-5R	3	5	0	5	5	3	1	4
UID	A2RRD8	NEGATIVE	3S-6R	3	6	0	6	6	3	1	2
UID	A2RTX5	POSITIVE	3S-5R	3	5	5	59	64	6	1	8
UID	A2RTY3	NEGATIVE	1S-1R	1	1	0	1	1	1	1	1
UID	A2RU30	NEGATIVE	1S-9R	1	9	0	9	9	1	1	6
UID	A2RU49	POSITIVE	1S-3R	1	3	3	36	39	1	1	1
UID	A2RU67	POSITIVE	1S-1R	1	1	1	33	34	1	1	2
UID	A2RUB1	POSITIVE	1S-3R	1	3	3	10	13	2	1	4
UID	A2RUC4	POSITIVE	1S-1R	1	1	1	1	2	2	1	1
UID	A2RUS2	POSITIVE	2S-4R	2	4	4	19	23	4	1	6
UID	A2VDJ0	POSITIVE	2S-4R	2	4	4	14	18	2	1	6
UID	A2VDJ0-5	NEGATIVE	1S-5R	1	5	0	5	5	1	1	4
UID	A3KMH1	POSITIVE	4S-7R	4	7	7	194	201	11	1	9
UID	A3KN83	POSITIVE	3S-3R	3	3	3	70	73	10	1	7
UID	A4D0S4	POSITIVE	2S-4R	2	4	4	7	11	2	1	4
UID	A4D126	POSITIVE	2S-3R	2	3	3	17	20	3	1	2
UID	A4D1E1	NEGATIVE	1S-1R	1	1	0	1	1	1	1	1
UID	A4D1E9	NEGATIVE	4S-14R	4	14	0	14	14	4	1	2
UID	A4D1P6	POSITIVE	2S-4R	2	4	4	131	135	6	1	7
UID	A4D1S0	POSITIVE	2S-16R	2	16	16	84	100	2	1	4
UID	A4D1S5	POSITIVE	1S-1R	1	1	1	1	2	2	1	2
UID	A4D1U4	NEGATIVE	2S-29R	2	29	0	29	29	2	1	2
UID	A4D1Z2	NEGATIVE	1S-1R	1	1	0	1	1	1	1	1
UID	A4D2B8	NEGATIVE	1S-1R	1	1	0	1	1	1	1	1
UID	A4FU69	POSITIVE	1S-2R	1	2	2	15	17	1	1	2
UID	A4GXA9	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	A4QN01	NEGATIVE	1S-1R	1	1	0	1	1	1	1	1
UID	A5A3E0	POSITIVE	1S-1R	1	1	1	4	5	2	1	4
UID	A5PL33	POSITIVE	1S-2R	1	2	2	15	17	2	1	4
UID	A5PLL7	POSITIVE	1S-6R	1	6	6	2	8	1	1	2
UID	A5PLN9	NEGATIVE	5S-36R	5	36	0	36	36	5	1	6
UID	A5PLN9-5	NEGATIVE	1S-1R	1	1	0	1	1	1	1	1
UID	A6BM72	NEGATIVE	1S-1R	1	1	0	1	1	1	1	1
UID	A6NC57	NEGATIVE	1S-1R	1	1	0	1	1	1	1	1
UID	A6NC98	POSITIVE	1S-2R	1	2	2	32	34	4	1	5
